Date	Price
2010/09/17	60.28
2010/09/10	61.75
2010/09/03	59.75
2010/08/27	60.65
2010/08/20	58.74
2010/08/13	59.12
2010/08/06	61.35
2010/07/30	61.01
2010/07/23	60.69
2010/07/16	58.64
2010/07/09	59.74
2010/07/02	57.57
2010/06/25	63.31
2010/06/18	63.00
2010/06/11	61.77
2010/06/04	59.17
2010/05/28	59.23
2010/05/21	56.60
2010/05/14	61.67
2010/05/07	61.31
2010/04/30	65.06
2010/04/23	64.65
2010/04/16	62.88
2010/04/09	62.84
2010/04/02	61.62
2010/03/26	58.28
2010/03/19	58.13
2010/03/12	57.51
2010/03/05	58.49
2010/02/26	56.52
2010/02/19	57.65
2010/02/12	53.24
2010/02/05	51.68
2010/01/29	51.02
2010/01/22	51.11
2010/01/15	53.63
2010/01/08	56.34
2010/01/01	54.08
2009/12/25	52.68
2009/12/18	51.27
2009/12/11	48.72
2009/12/04	52.19
2009/11/27	51.34
2009/11/20	51.88
2009/11/13	50.76
2009/11/06	51.17
2009/10/30	50.73
2009/10/23	51.50
2009/10/16	51.35
2009/10/09	47.90
2009/10/02	46.24
2009/09/25	44.22
2009/09/18	47.86
2009/09/11	46.50
2009/09/04	46.60
2009/08/28	50.84
2009/08/21	51.64
2009/08/14	49.87
2009/08/07	51.58
2009/07/31	49.72
2009/07/24	49.08
2009/07/17	45.67
2009/07/10	42.71
2009/07/03	46.52
2009/06/26	48.60
2009/06/19	49.16
2009/06/12	50.66
2009/06/05	48.48
2009/05/29	46.13
2009/05/22	42.76
2009/05/15	40.87
2009/05/08	42.66
2009/05/01	39.51
2009/04/24	38.49
2009/04/17	40.19
2009/04/10	40.93
2009/04/03	40.13
2009/03/27	38.07
2009/03/20	36.75
2009/03/13	34.50
2009/03/06	35.51
2009/02/27	35.47
2009/02/20	32.51
2009/02/13	34.20
2009/02/06	35.94
2009/01/30	35.43
2009/01/23	36.63
2009/01/16	33.26
2009/01/09	32.37
2009/01/02	34.37
2008/12/26	25.19
2008/12/19	29.94
2008/12/12	34.38
2008/12/05	30.82
2008/11/28	40.83
2008/11/21	37.31
2008/11/14	40.35
2008/11/07	45.21
2008/10/31	51.16
2008/10/24	48.62
2008/10/17	50.67
2008/10/10	56.82
2008/10/03	64.10
2008/09/26	69.92
2008/09/19	67.85
2008/09/12	66.81
2008/09/05	71.88
2008/08/29	76.33
2008/08/22	76.42
2008/08/15	75.70
2008/08/08	75.00
2008/08/01	79.76
2008/07/25	79.07
2008/07/18	81.55
2008/07/11	90.93
2008/07/04	91.96
2008/06/27	88.94
2008/06/20	85.65
2008/06/13	87.53
2008/06/06	85.79
2008/05/30	81.90
2008/05/23	82.07
2008/05/16	79.00
2008/05/09	80.35
2008/05/02	73.79
2008/04/25	74.27
2008/04/18	71.69
2008/04/11	68.32
2008/04/04	66.68
2008/03/28	65.84
2008/03/21	65.68
2008/03/14	69.89
2008/03/07	67.56
2008/02/29	66.36
2008/02/22	65.79
2008/02/15	65.35
2008/02/08	63.82
2008/02/01	61.02
2008/01/25	62.42
2008/01/18	61.41
2008/01/11	61.55
2008/01/04	65.93
2007/12/28	64.44
2007/12/21	64.64
2007/12/14	63.69
2007/12/07	60.39
2007/11/30	60.51
2007/11/23	64.88
2007/11/16	62.96
2007/11/09	63.66
2007/11/02	63.71
2007/10/26	61.49
2007/10/19	59.52
2007/10/12	57.21
2007/10/05	56.22
2007/09/28	56.06
2007/09/21	56.45
2007/09/14	55.68
2007/09/07	55.03
2007/08/31	53.45
2007/08/24	51.43
2007/08/17	51.92
2007/08/10	51.49
2007/08/03	54.69
2007/07/27	56.54
2007/07/20	57.55
2007/07/13	58.22
2007/07/06	56.87
2007/06/29	53.98
2007/06/22	54.05
2007/06/15	53.56
2007/06/08	52.05
2007/06/01	51.77
2007/05/25	53.23
2007/05/18	51.93
2007/05/11	49.12
2007/05/04	47.57
2007/04/27	50.31
2007/04/20	48.99
2007/04/13	50.69
2007/04/06	51.03
2007/03/30	51.17
2007/03/23	47.74
2007/03/16	45.18
2007/03/09	46.32
2007/03/02	47.00
2007/02/23	45.74
2007/02/16	44.51
2007/02/09	45.27
2007/02/02	45.04
2007/01/26	42.84
2007/01/19	41.10
2007/01/12	40.53
2007/01/05	42.48
2006/12/29	45.70
2006/12/22	47.14
2006/12/15	48.00
2006/12/08	47.16
2006/12/01	48.88
2006/11/24	45.85
2006/11/17	44.21
2006/11/10	44.73
2006/11/03	44.80
2006/10/27	45.93
2006/10/20	45.57
2006/10/13	46.94
2006/10/06	46.68
2006/09/29	48.38
2006/09/22	46.16
2006/09/15	48.84
2006/09/08	50.18
2006/09/01	53.59
2006/08/25	56.27
2006/08/18	55.87
2006/08/11	59.54
2006/08/04	59.16
2006/07/28	57.58
2006/07/21	58.05
2006/07/14	60.54
2006/07/07	56.46
2006/06/30	57.31
2006/06/23	55.45
2006/06/16	53.50
2006/06/09	55.33
2006/06/02	54.49
2006/05/26	55.12
2006/05/19	53.19
2006/05/12	56.06
2006/05/05	55.56
2006/04/28	57.02
2006/04/21	60.52
2006/04/14	57.97
2006/04/07	55.59
2006/03/31	53.50
2006/03/24	52.11
2006/03/17	51.42
2006/03/10	51.45
2006/03/03	52.14
2006/02/24	51.25
2006/02/17	48.85
2006/02/10	49.56
2006/02/03	52.34
2006/01/27	53.46
2006/01/20	54.78
2006/01/13	51.49
2006/01/06	51.97
2005/12/30	49.75
2005/12/23	47.51
2005/12/16	47.14
2005/12/09	47.41
2005/12/02	47.46
2005/11/25	45.40
2005/11/18	45.21
2005/11/11	46.94
2005/11/04	50.49
2005/10/28	49.13
2005/10/21	47.92
2005/10/14	47.85
2005/10/07	47.63
2005/09/30	52.00
2005/09/23	51.02
2005/09/16	49.18
2005/09/09	50.22
2005/09/02	52.28
2005/08/26	52.65
2005/08/19	53.01
2005/08/12	53.37
2005/08/05	49.48
2005/07/29	49.22
2005/07/22	47.72
2005/07/15	47.13
2005/07/08	48.19
2005/07/01	47.73
2005/06/24	47.77
2005/06/17	46.45
2005/06/10	42.53
2005/06/03	43.19
2005/05/27	39.45
2005/05/20	37.48
2005/05/13	37.48
2005/05/06	38.74
2005/04/29	38.23
2005/04/22	40.79
2005/04/15	38.47
2005/04/08	40.32
2005/04/01	42.76
2005/03/25	40.82
2005/03/18	41.88
2005/03/11	39.54
2005/03/04	39.43
2005/02/25	37.35
2005/02/18	35.19
2005/02/11	34.69
2005/02/04	33.90
2005/01/28	34.42
2005/01/21	35.03
2005/01/14	34.74
2005/01/07	33.41
2004/12/31	29.68
2004/12/24	29.38
2004/12/17	32.44
2004/12/10	27.62
2004/12/03	28.56
2004/11/26	32.27
2004/11/19	33.12
2004/11/12	31.89
2004/11/05	34.92
2004/10/29	38.23
2004/10/22	41.10
2004/10/15	41.08
2004/10/08	40.40
2004/10/01	38.45
2004/09/24	37.67
2004/09/17	35.63
2004/09/10	33.67
2004/09/03	34.07
2004/08/27	33.77
2004/08/20	36.35
2004/08/13	36.31
2004/08/06	34.88
2004/07/30	34.66
2004/07/23	32.64
2004/07/16	30.94
2004/07/09	30.16
2004/07/02	28.55
2004/06/25	28.36
2004/06/18	29.45
2004/06/11	29.24
2004/06/04	29.24
2004/05/28	30.27
2004/05/21	31.33
2004/05/14	33.20
2004/05/07	31.65
2004/04/30	29.41
2004/04/23	28.27
2004/04/16	28.22
2004/04/09	28.21
2004/04/02	25.67
2004/03/26	27.10
2004/03/19	28.42
2004/03/12	26.92
2004/03/05	27.83
2004/02/27	26.45
2004/02/20	24.80
2004/02/13	24.55
2004/02/06	22.87
2004/01/30	23.68
2004/01/23	24.97
2004/01/16	25.40
2004/01/09	25.02
2004/01/02	23.50
2003/12/26	23.55
2003/12/19	25.15
2003/12/12	24.53
2003/12/05	23.91
2003/11/28	23.99
2003/11/21	24.63
2003/11/14	25.25
2003/11/07	24.92
2003/10/31	24.10
2003/10/24	25.34
2003/10/17	25.60
2003/10/10	26.94
2003/10/03	25.24
2003/09/26	23.71
2003/09/19	22.19
2003/09/12	23.51
2003/09/05	24.94
2003/08/29	27.40
2003/08/22	27.93
2003/08/15	26.04
2003/08/08	26.65
2003/08/01	26.56
2003/07/25	24.66
2003/07/18	25.93
2003/07/11	25.81
2003/07/04	24.20
2003/06/27	24.31
2003/06/20	23.11
2003/06/13	23.11
2003/06/06	24.22
2003/05/30	22.78
2003/05/23	22.82
