Date	Biodiesel
2006/08/04	1018.1
2006/08/11	1053.4
2006/08/18	1054.6
2006/08/25	1055.1
2006/09/01	1053.8
2006/09/08	1052.7
2006/09/15	1029
2006/09/22	1020
2006/09/29	1009.7
2006/10/06	1006.3
2006/10/13	1008.3
2006/10/20	1012.7
2006/10/27	1010.9
2006/11/03	999.6
2006/11/10	1006
2006/11/17	1009.9
2006/11/24	1010.7
2006/12/01	1012.5
2006/12/08	1013.7
2006/12/15	1013.7
2006/12/22	1015.4
2006/12/29	
2007/01/05	1050.9
2007/01/12	1036.7
2007/01/19	1018.3
2007/01/26	1016.2
2007/02/02	1014
2007/02/09	1011.3
2007/02/16	1010.2
2007/02/23	1012.6
2007/03/02	1010.3
2007/03/09	1018.5
2007/03/16	1019.3
2007/03/23	1014.2
2007/03/30	1011
2007/04/06	1022.3
2007/04/13	1020.4
2007/04/20	1019.6
2007/04/27	1021.2
2007/05/04	1025.8
2007/05/11	1020.6
2007/05/18	1019.5
2007/05/25	1025.9
2007/06/01	1025.9
2007/06/08	1014.2
2007/06/15	1013.5
2007/06/22	1029.7
2007/06/29	1032.8
2007/07/06	1039
2007/07/13	1032.7
2007/07/20	1033.9
2007/07/27	1032.7
2007/08/03	1026.7
2007/08/10	1017.3
2007/08/17	1023
2007/08/24	1024.2
2007/08/31	1026.6
2007/09/07	1028.3
2007/09/14	1033.9
2007/09/21	1038.2
2007/09/28	1044.5
2007/10/05	1039.7
2007/10/12	1047.4
2007/10/19	1047.7
2007/10/26	1060.1
2007/11/02	1063.6
2007/11/09	1088.4
2007/11/16	1156.8
2007/11/23	1183
2007/11/30	1198.1
2007/12/07	1200.5
2007/12/14	1202.6
2007/12/21	1206.4
2007/12/28	
2008/01/04	1222.8
2008/01/11	1238.2
2008/01/18	1213
2008/01/25	1215.7
2008/02/01	1217.8
2008/02/08	
2008/02/15	1216.6
2008/02/22	1220.3
2008/02/29	
2008/03/07	1244
2008/03/14	1314
2008/03/21	1265.2
2008/03/28	1260.7
2008/04/04	1263.5
2008/04/11	
2008/04/18	
2008/04/25	1280.2
2008/05/02	
2008/05/09	1297.6
2008/05/16	1327.7
2008/05/23	1358
2008/05/30	1388.6
2008/06/06	1390.8
2008/06/13	1405.1
2008/06/20	1404.6
2008/06/27	1405.3
2008/07/04	1416.7
2008/07/11	1422.2
2008/07/18	1431
2008/07/25	1417.7
2008/08/01	1406
2008/08/08	1406
2008/08/15	1387.7
2008/08/22	
2008/08/29	1374.6
2008/09/05	1362.9
2008/09/12	1355.9
2008/09/19	1354.6
2008/09/26	1357.7
2008/10/03	1361.3
2008/10/10	1332.3
2008/10/17	1305.3
2008/10/24	
2008/10/31	1272.7
2008/11/07	1255.7
2008/11/14	1233
2008/11/21	1218.6
2008/11/28	1145.6
2008/12/05	1236
2008/12/12	1168.9
2008/12/19	1170.5
2008/12/26	
2009/01/02	
2009/01/09	1130.1
2009/01/16	1181.5
2009/01/23	
2009/01/30	1145.1
2009/02/06	1151.2
2009/02/13	
2009/02/20	1152.3
2009/02/27	1117.8
2009/03/06	1070.6
2009/03/13	1060.7
2009/03/20	1076
2009/03/27	1053.4
2009/04/03	1085.2
2009/04/10	1049
2009/04/17	1080.7
2009/04/24	1063.2
2009/05/01	1073.2
2009/05/08	1082.1
2009/05/15	1099.6
2009/05/22	1110.7
2009/05/29	1089
2009/06/05	
2009/06/12	1036.5
2009/06/19	1042.2
2009/06/26	1068.2
2009/07/03	1037.1
2009/07/10	1031.7
2009/07/17	1006.4
2009/07/24	1005.8
2009/07/31	1011.5
2009/08/07	1021.5
2009/08/14	1026.18
2009/08/21	1084
2009/08/28	1084
2009/09/04	1049
2009/09/11	1029
2009/09/18	1024
2009/09/25	1034
2009/10/02	979
2009/10/09	1019
2009/10/16	1004
2009/10/23	1004
2009/10/30	1019
2009/11/06	
2009/11/13	1019
2009/11/20	1014
2009/11/27	1018.6
2009/12/04	1039.63
2009/12/11	1048.5
2009/12/18	1017.3
2009/12/25	
2010/01/01	
2010/01/08	
2010/01/15	
2010/01/22	1030.9
2010/01/29	1053.4
2010/02/05	1044.6
2010/02/12	1041.6
2010/02/19	1032.65
2010/02/26	1045.48
2010/03/05	1040
2010/03/12	
2010/03/19	
2010/03/26	1055.03
2010/04/02	1061.13
2010/04/09	1085.38
2010/04/16	1084.58
2010/04/23	1083
2010/04/30	1087.9
2010/05/07	1098.38
2010/05/14	
2010/05/21	
2010/05/28	1092.23
2010/06/04	1096.95
2010/06/11	1088.75
2010/06/18	1090.68
2010/06/25	1092.38
2010/07/02	1089.53
2010/07/09	1085.08
2010/07/16	1100.23
2010/07/23	1087.83
2010/07/30	1086.93
2010/08/06	1098.25
2010/08/13	1099.1
2010/08/20	1101
2010/08/27	1099.55
2010/09/03	1099.98
2010/09/10	1107.18
2010/09/17	1110.4
2010/09/24	1117.13
2010/10/01	1112.65
2010/10/08	1118.73
2010/10/15	1136.8
2010/10/22	1129.48
2010/10/29	1133.4
2010/11/05	1128.5
2010/11/12	1159.7
2010/11/19	1166.05
2010/11/26	1183.8
2010/12/03	1190.78
2010/12/10	1183.33
2010/12/17	1244.2
2010/12/24	1253.48
2010/12/31	1262.03
2011/01/07	1266.25
2011/01/14	1289.43
2011/01/21	1304.95
2011/01/28	1293.68
2011/02/04	1277.68
2011/02/11	1318.88
2011/02/18	1289
2011/02/25	1302.13
2011/03/04	1311.45
2011/03/11	1342.95
2011/03/18	1339.95
2011/03/25	1378.38
2011/04/01	1357
2011/04/08	1408.9
2011/04/15	1422.58
2011/04/22	1385
2011/04/29	1404.1
2011/05/06	1410
2011/05/13	1393.7
2011/05/20	1386
2011/05/27	1370.7
2011/06/03	1372.6
2011/06/10	1367.2
2011/06/17	1382.9
2011/06/24	1379.43
2011/07/01	1340.7
2011/07/08	1359.73
2011/07/15	1359.23
2011/07/22	1359.83
2011/07/29	1353.05
2011/08/05	1342.85
2011/08/12	1347.95
2011/08/19	1350.43
2011/08/26	1368.83
2011/09/02	1373.2
2011/09/09	1371.5
2011/09/16	1365.9
2011/09/23	1372.22
2011/09/30	1359.8
2011/10/07	1354.28
2011/10/14	1371.48
2011/10/21	1324.28
2011/10/28	1345.15
2011/11/04	1359.25
2011/11/11	1342.38
2011/11/18	1358.63
2011/11/25	1364.48
2011/12/02	1342.15
2011/12/09	1355.55
2011/12/16	1361.33
2011/12/23	1374.8
2011/12/30	
2012/01/06	1369.85
2012/01/13	1382.93
2012/01/20	1387.08
2012/01/27	1392.2
2012/02/03	1388.88
2012/02/10	1392.38
2012/02/17	1395.43
2012/02/24	1408.68
2012/03/02	1401.75
2012/03/09	1398.2
2012/03/16	1397.15
2012/03/23	1399.43
2012/03/30	1395.4
2012/04/06	1399.08
2012/04/13	1419.43
2012/04/20	1406.77
2012/04/27	1426.4
